Title,Year,Critics_Score,Cast,Image_Link,Critics_Score_Clean,Year_Clean
The AI Doc: Or How I Became an Apocaloptimist,(2026),88%,,https://resizing.flixster.com/21aI6JFf2HWPPMEfRcVVHWGHRZM=/fit-in/80x126/v2/https://resizing.flixster.com/BhE49z6xOkLRFjBWBNAl_c5bV_o=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzVjZWRmM2Q5LThmMWQtNGFlYi1iYWMxLTZlYTMwZTAzNjdjZi5qcGc=,88.0,2026.0
A.I.: Artificial Intelligence,(2001),76%,"Haley Joel Osment, Jude Law, Frances O'Connor",https://resizing.flixster.com/zVbk-YfRQExl9w0Tq_Kz_q3GCsY=/fit-in/80x126/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p27945_p_v8_bb.jpg,76.0,2001.0
The Last Airbender,(2010),5%,"Noah Ringer, Dev Patel, Nicola Peltz Beckham",https://resizing.flixster.com/CyBiJChmgYjHT8Vz6Z6hfVgImnk=/fit-in/80x126/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p3597018_p_v10_aq.jpg,5.0,2010.0
Air,(2023),93%,"Matt Damon, Ben Affleck, Jason Bateman",https://resizing.flixster.com/VKVnaaXGnVsRKwXyuUg07HyJO4s=/fit-in/80x126/v2/https://resizing.flixster.com/YCmO8jyzF8PEJ5djT_x4TiRAw7Y=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzg0MjcwZGUyLTE4NzctNDgyMi05ZmI0LWM4OWJkZjgxMDMyMi5qcGc=,93.0,2023.0
Airplane!,(1980),97%,"Robert Hays, Julie Hagerty, Peter Graves",https://resizing.flixster.com/f9yG6nevZkd8vGRm6gEophXY2Tc=/fit-in/80x126/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p1671_p_v11_aa.jpg,97.0,1980.0
Con Air,(1997),59%,"Nicolas Cage, John Cusack, John Malkovich",https://resizing.flixster.com/KyD9kkHyDFTAKIGlWkd4C2Onvvk=/fit-in/80x126/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p19439_p_v8_av.jpg,59.0,1997.0
Up in the Air,(2009),90%,"George Clooney, Vera Farmiga, Anna Kendrick",https://resizing.flixster.com/I4FIeWc1tTnNOBi105GpU6AiVCg=/fit-in/80x126/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p3600392_p_v7_aa.jpg,90.0,2009.0
The Greek Aisle,(2026),,"Nikki Deloach, Apostolis Totsikas",https://resizing.flixster.com/DMuzDAeQ4Q9YVD4VmgNmlhlqBWc=/fit-in/80x126/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p33044476_v_v12_aa.jpg,,2026.0
Air Force One,(1997),78%,"Harrison Ford, Gary Oldman, Glenn Close",https://resizing.flixster.com/Mhbd4u5OA2Qufp6mq3TwWgCeFMc=/fit-in/80x126/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p19610_p_v7_ab.jpg,78.0,1997.0
Aileen: Queen of the Serial Killers,(2025),,,https://resizing.flixster.com/Q2mT3_QL8MlWq1vSw0-Kr60fdg4=/fit-in/80x126/v2/https://resizing.flixster.com/8K3BD_RtNey41YpDUtRYjBSizaM=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzZiMzU5MDUwLTNiMDYtNGViNS05ZWNkLTViNTdmNzI2NDkyYS5qcGc=,,2025.0
